comment_id,user_id,step_id,parent_comment_id,comment_time
1,1,23069,0,1434720407
8,1,21930,0,1434723142
59,4550806,25276,0,1434748788
60,4519246,21917,0,1434748839
61,1,25276,59,1434749152
62,4545394,25276,0,1434749325
64,4544587,25276,0,1434749775
65,4551729,25276,0,1434750006
66,4110934,22406,0,1434750181
67,3900128,25276,0,1434750254
68,4371762,25276,0,1434750337
70,3900128,21919,0,1434750998
71,1,21919,70,1434751054
72,1,22406,66,1434751124
73,3900128,21919,70,1434751167
74,4038981,21928,0,1434751575
75,4544118,25276,0,1434751645
78,4553473,25278,0,1434752685
79,4551828,25276,0,1434753555
82,3860795,25276,0,1434753969
83,4527935,25276,0,1434754061
85,3916075,25276,0,1434756696
86,4509928,20649,0,1434756825
87,4548814,25276,0,1434756934
88,4509928,25276,0,1434757429
89,4509983,25276,0,1434759935
90,4110934,23038,0,1434761600
91,4550806,25276,59,1434763711
93,3765434,25278,78,1434766268
94,3929697,22406,66,1434767412
95,4034177,25276,0,1434768738
96,4553642,21919,0,1434770823
97,4553642,21919,0,1434770841
98,4544246,25276,0,1434771296
99,3916427,23086,0,1434772384
100,4535016,25276,0,1434773478
103,4553680,20649,0,1434775231
104,4553680,25276,0,1434775359
105,4527903,25276,0,1434775563
106,4527903,25276,0,1434775563
109,4528603,25276,0,1434777312
111,4512612,25276,0,1434777890
112,4524846,25280,0,1434778318
115,1,23038,0,1434778912
116,4492655,20649,0,1434780246
119,4524846,25276,0,1434780530
120,3965488,25276,0,1434781249
122,4542586,25276,0,1434781518
125,4550503,25276,0,1434782218
127,4504994,25276,0,1434782650
129,4551963,25276,0,1434783015
131,4553473,25276,0,1434783199
132,4524846,22409,110,1434783390
133,4551963,21915,0,1434783757
134,4549184,25276,0,1434784217
135,4472092,25276,0,1434784254
136,4464611,25276,0,1434784532
137,4343115,25276,0,1434785734
138,4107321,25280,112,1434785933
140,4406981,25276,0,1434786010
141,4107321,25276,0,1434786233
144,4550874,25276,0,1434787079
147,4405871,25276,0,1434787629
148,4524846,25280,112,1434787696
149,4542992,25276,0,1434788144
150,4546037,25276,0,1434788188
151,4152869,25276,0,1434788376
152,4542992,25281,0,1434788694
153,4519246,23077,0,1434788846
154,4376234,25276,0,1434788982
156,4553738,25276,0,1434789219
157,4511475,25276,0,1434789338
158,4550556,25276,0,1434789665
159,4525090,20649,0,1434789898
160,4525090,25276,0,1434790003
164,4543789,25276,0,1434790774
165,4367934,25276,0,1434790968
168,4534068,25276,0,1434791457
173,4128944,25276,0,1434792142
174,4553954,25276,0,1434792165
177,4407282,25276,0,1434792242
178,4240241,25276,0,1434792268
184,4543937,25276,0,1434792531
194,4551963,21920,0,1434793412
195,4541645,25276,0,1434793603
196,4534414,25276,0,1434793617
198,4470612,25276,0,1434794106
203,4554087,25276,0,1434794668
204,4201748,25250,163,1434794695
205,4476415,25276,0,1434794711
206,4543774,25276,0,1434794775
207,4545538,25276,0,1434794787
208,4551088,25276,0,1434794919
209,4481199,25276,0,1434795022
210,4543774,21917,0,1434795147
214,4553586,25276,0,1434795789
215,3920182,25276,0,1434795959
216,4165193,25276,0,1434796024
219,4554165,25276,0,1434796188
221,4097591,25280,112,1434796236
223,4097591,25276,0,1434796533
224,3920358,20649,0,1434796644
227,4097591,21915,133,1434797092
229,4042206,25276,0,1434797368
232,3920358,21919,96,1434797589
233,4363967,25276,0,1434797607
235,4541645,21915,133,1434797650
237,4554165,22406,0,1434797744
239,4554253,25276,0,1434797785
240,4499027,25276,0,1434797787
241,4521041,25276,0,1434797941
242,4554231,25276,0,1434798044
243,1,20649,159,1434798074
244,4525090,22751,0,1434798188
245,1,23077,153,1434798224
246,1,21917,210,1434798352
247,4038981,23069,1,1434798473
250,1,23086,99,1434798840
252,4554295,25276,0,1434798910
253,4319357,25276,0,1434798936
255,4554342,25276,0,1434798994
256,4554340,25276,0,1434799000
257,4499027,21916,0,1434799094
258,1,22751,244,1434799113
259,4543305,25276,0,1434799154
260,4109217,25276,0,1434799225
261,4546484,25276,0,1434799260
262,1,22762,254,1434799266
263,1,23069,1,1434799351
264,4514691,25276,0,1434799354
265,1,20649,86,1434799503
266,3920358,21928,74,1434799559
267,4546162,25276,0,1434799678
269,4499027,21917,0,1434799805
271,1,22406,237,1434800026
272,4519262,25276,0,1434800059
273,1,21917,269,1434800159
274,3770148,25276,0,1434800232
277,4554379,25276,0,1434800393
278,1,25276,207,1434800427
279,4321172,25276,0,1434800448
280,4321172,25276,0,1434800500
284,3800554,25276,0,1434801266
288,4112026,20649,0,1434801518
293,4112026,25276,0,1434801744
294,4499027,21920,0,1434801905
296,4112026,25281,0,1434801937
301,4543551,25276,0,1434802410
302,1,21920,294,1434802420
304,4042196,25276,0,1434802627
305,4512623,25276,0,1434802634
307,1,25276,304,1434802662
308,4366195,25276,0,1434802837
309,4529496,25276,0,1434802843
310,4554147,25276,0,1434802932
312,4546398,25276,0,1434803015
314,4080999,25276,0,1434803089
315,4090536,25276,0,1434803224
317,3933922,25276,0,1434803278
318,4076060,25276,0,1434803280
319,4066675,25276,0,1434803296
320,3770148,23084,0,1434803524
322,3903406,25276,0,1434803706
324,1,23084,320,1434803769
326,4038981,21928,74,1434803880
328,4424940,25276,0,1434804207
329,4090536,22409,0,1434804264
330,1,22409,329,1434804322
331,4546398,21916,0,1434804428
332,4290325,23085,0,1434804475
333,4508903,25276,0,1434804513
334,3768492,25276,0,1434804543
335,4551428,25276,0,1434804548
336,4554147,21916,0,1434804627
337,4367122,25276,0,1434804636
338,1,23085,332,1434804649
339,3917600,25276,0,1434804713
340,4152719,25276,0,1434804801
342,4134410,25276,0,1434804838
343,3770148,23078,0,1434804858
344,4515162,25276,0,1434804866
348,1,22765,347,1434805178
349,1,23078,343,1434805258
354,3933922,22410,0,1434805416
356,4361702,25276,0,1434805563
363,4554891,25276,0,1434805887
364,4543265,25276,0,1434805927
365,4134654,25276,309,1434805943
366,4147236,25276,0,1434805982
367,4187559,25276,0,1434806038
368,4142105,25276,0,1434806065
369,3774443,20649,0,1434806087
370,1,21916,336,1434806123
372,1,21916,331,1434806164
373,4411229,25276,0,1434806170
374,4104810,25276,0,1434806232
376,4125006,25276,0,1434806368
377,4220291,25276,0,1434806445
380,4512665,25276,0,1434806655
381,4542897,25276,0,1434807021
382,4517606,25276,0,1434807094
384,3770148,23067,0,1434807189
385,4076060,22883,0,1434807227
386,3770148,23067,384,1434807319
387,1,23067,384,1434807377
389,4514752,25276,0,1434807398
390,4464569,25276,0,1434807424
391,4364173,23075,0,1434807532
392,3920031,25276,0,1434807628
393,4471705,25276,0,1434807675
394,4391740,21917,269,1434807707
395,1,23075,391,1434807779
396,3913279,25278,0,1434807803
397,4069803,25278,78,1434807820
400,4067987,25250,163,1434807880
402,4128407,25280,112,1434808040
403,3770148,23084,320,1434808049
404,3770148,23067,384,1434808147
405,4542288,25276,0,1434808347
406,4364173,23075,391,1434808504
407,3905503,25276,0,1434808613
408,4104894,25276,0,1434808660
409,4549486,25276,0,1434808775
410,4390302,25276,0,1434808836
411,4546398,21922,0,1434808851
412,4548689,25276,0,1434808877
413,4158041,25277,0,1434808955
414,4543879,25276,0,1434808963
415,3898052,25276,0,1434808998
416,1,21922,411,1434809024
418,3775242,25276,0,1434809124
419,4531820,25276,0,1434809147
420,4367485,25276,0,1434809307
421,4372776,25276,0,1434809325
422,4526198,25276,0,1434809418
423,4069803,25276,0,1434809469
424,4411929,25276,0,1434809495
425,4069803,25281,152,1434809575
426,4554147,21916,336,1434809589
428,3898052,21915,0,1434809616
429,1,21915,428,1434809704
431,4532520,25276,0,1434809798
433,4512491,25276,0,1434809911
434,4363611,25276,0,1434810009
435,4555256,25276,0,1434810022
436,1,22762,432,1434810127
437,3946060,25276,0,1434810159
438,4092547,25276,0,1434810191
441,4521137,25276,0,1434810404
442,4119810,25276,0,1434810471
443,4102648,25276,0,1434810505
445,1,23084,444,1434810748
446,3920358,23078,343,1434810751
447,4126124,25276,0,1434810952
448,4512069,20649,0,1434810966
450,3766201,23029,0,1434811101
451,4544180,25276,0,1434811685
453,3937384,25276,0,1434811933
455,4543265,22883,0,1434811945
456,3946957,25276,0,1434811973
457,4412682,25277,413,1434812104
458,4499027,23074,0,1434812113
461,4512069,25276,0,1434812284
462,3910674,25276,0,1434812353
463,3918679,25276,0,1434812378
464,4073318,25276,0,1434812479
466,3938841,25276,453,1434812591
467,4474585,25276,0,1434812593
469,4473600,25276,0,1434812872
472,4543406,25276,0,1434812911
473,3953834,25276,0,1434812936
474,4412682,25276,0,1434812974
476,4543265,22445,0,1434813048
478,4402473,25276,0,1434813204
479,1,22445,476,1434813267
484,4550946,22765,0,1434813472
485,3896170,25276,0,1434813506
487,4376744,25276,0,1434813526
489,4551544,25276,0,1434813898
493,4471699,25276,0,1434814338
494,4533824,22765,484,1434814432
495,4509385,25276,0,1434814519
496,4550946,21922,0,1434814657
497,3800531,23078,343,1434814693
498,4551115,25276,0,1434814793
499,4513630,25276,0,1434814918
502,4550946,22408,0,1434815083
504,4468024,25276,0,1434815145
505,4318199,25276,0,1434815175
506,4118625,25276,0,1434815205
507,4542879,25276,0,1434815218
509,4555416,25276,0,1434815354
510,4463791,25276,0,1434815373
512,4374282,25276,0,1434815465
514,4494491,25276,0,1434815502
516,3902828,25276,0,1434815645
517,4444664,25276,0,1434815762
521,4554544,25276,0,1434816064
522,4067987,23029,0,1434816074
523,4545281,25276,0,1434816306
525,4153934,25276,0,1434816529
528,4220302,25276,0,1434816783
529,3920358,23078,343,1434816856
531,4550946,22883,0,1434816896
533,4114599,25276,0,1434817117
534,4547295,25276,0,1434817218
535,4543265,22883,531,1434817266
538,4543675,25276,0,1434817833
539,3920255,20649,0,1434817838
540,4502486,25276,0,1434817910
541,4318199,22409,0,1434817968
542,4069067,25276,0,1434818032
544,3920255,25276,0,1434818092
547,3914950,25276,0,1434818352
548,4502772,25276,0,1434818384
549,4115186,25276,0,1434818584
551,4175829,25276,0,1434818811
552,4114599,22765,484,1434818820
553,4244884,25276,0,1434818854
554,3910674,22763,0,1434818909
555,4425221,25276,0,1434818945
557,3889336,23085,0,1434819006
560,4506752,25276,0,1434819286
561,4061524,25276,0,1434819322
562,4528012,25276,0,1434819748
564,4460646,23074,0,1434819837
565,4414439,25250,0,1434819851
566,4437658,25276,0,1434819887
567,4410224,25276,0,1434819965
568,3933147,25276,0,1434820107
569,4555849,25276,0,1434820112
570,1,22883,531,1434820132
571,4114599,22410,354,1434820186
572,4460646,23074,458,1434820253
573,4555658,25276,0,1434820269
574,4555903,25276,0,1434820290
577,4421775,20649,0,1434820366
578,1,20649,577,1434820386
579,1,25250,565,1434820452
580,4421775,25276,0,1434820460
581,3800531,23078,343,1434820470
582,4235748,25276,0,1434820588
583,4482778,25276,59,1434820626
584,4460646,23078,343,1434820633
586,4547772,25276,0,1434821043
587,4536131,25276,0,1434821052
588,4101495,25276,0,1434821176
589,4273639,25276,0,1434821226
590,4543918,25276,0,1434821255
591,4472092,23029,0,1434821259
592,3896170,23026,0,1434821445
594,3917887,25276,0,1434821724
595,4515542,25276,0,1434821743
596,3920358,23078,343,1434821820
598,4514453,20649,0,1434821872
600,4544605,25276,0,1434822129
601,3899831,22765,484,1434822163
603,4421775,22401,0,1434822307
604,4555658,22406,0,1434822372
605,3955471,25276,0,1434822390
606,4556008,25276,0,1434822437
608,4551274,25276,0,1434822602
610,4551251,25276,0,1434822689
612,4508889,25276,0,1434822880
615,4534740,25276,0,1434823318
616,3955471,22406,0,1434823420
618,4551838,25276,0,1434823578
619,4542958,25276,0,1434823651
621,4550378,22883,531,1434823749
623,4550329,22409,0,1434823814
625,1,22409,623,1434823894
626,4319518,25276,0,1434823925
627,1,22409,543,1434823949
631,4361489,25276,0,1434824122
636,4028066,23075,0,1434824532
640,4553442,25276,0,1434824598
641,4550329,22409,623,1434824661
642,4544080,25276,0,1434824670
643,4510975,25276,0,1434824674
646,4472840,25276,0,1434824773
647,3938749,25276,0,1434824832
649,4556146,25276,0,1434824917
654,4129604,25276,0,1434825132
655,3805618,22408,0,1434825175
656,4555956,25276,0,1434825188
659,4556108,25276,0,1434825526
660,4114599,22765,484,1434825597
662,4471690,25276,0,1434825728
663,1,22408,655,1434825755
664,3899831,23078,343,1434825756
665,4371614,25276,0,1434825769
